system,n,source_m,run_type,init_kind,seed,exact_hard_required_gain,gain_budget_L,oracle_mse_at_L1,oracle_num_actions,oracle_max_constraint_violation
All-pair actions,8,2,random optimization,random_gaussian,5,2.32477037253896,1,0.26876043324669,28,1.22875043473414e-11
All-pair actions,8,2,random optimization,random_gaussian,6,2.32692899686307,1,0.26533652892103,28,1.2356782264078e-11
All-pair actions,8,2,random optimization,random_gaussian,7,2.32793094698579,1,0.267568714784073,28,1.06554765011424e-11
All-pair actions,8,2,random optimization,random_gaussian,8,2.32644155786364,1,0.266763311988829,28,1.4459544672718e-11
All-pair actions,8,2,random optimization,random_gaussian,9,2.32765736505589,1,0.26530025026801,28,2.06079597830922e-11
All-pair actions,8,3,random optimization,random_gaussian,0,1.8204691320031,1,0.0623552504474649,28,1.94229077266073e-11
All-pair actions,8,3,random optimization,random_gaussian,1,1.55596705164624,1,0.0447164865497885,28,1.53881352105145e-11
All-pair actions,8,3,random optimization,random_gaussian,2,1.80368367046355,1,0.060171882595628,28,2.62110333437704e-11
All-pair actions,8,3,random optimization,random_gaussian,3,1.55596705167156,1,0.0447164865515087,28,1.53881352105145e-11
All-pair actions,8,3,random optimization,random_gaussian,4,1.5559670518815,1,0.0447164865683207,28,1.53881352105145e-11
All-pair actions,8,3,random optimization,random_gaussian,5,1.82071382933893,1,0.0622994519651255,28,2.530886611396e-11
All-pair actions,8,3,random optimization,random_gaussian,6,1.55596705174531,1,0.0447164865531853,28,1.53881352105145e-11
All-pair actions,8,3,random optimization,random_gaussian,7,1.55596705160247,1,0.0447164865486947,28,1.53881352105145e-11
All-pair actions,8,3,random optimization,random_gaussian,8,1.82052841580125,1,0.062234448239494,28,1.80229164925549e-11
All-pair actions,8,3,random optimization,random_gaussian,9,1.8206307747712,1,0.0621952036447817,28,1.68667302347103e-11
All-pair actions,8,4,random optimization,random_gaussian,0,1.41421356329668,1,0.0183828080816652,28,4.44089209850063e-16
All-pair actions,8,4,random optimization,random_gaussian,1,1.41421356250106,1,0.0183828080659288,28,2.22044604925031e-16
All-pair actions,8,4,random optimization,random_gaussian,2,1.41421356295275,1,0.0183828080761541,28,4.44089209850063e-16
All-pair actions,8,4,random optimization,random_gaussian,3,1.4142135632218,1,0.0183828080846005,28,4.44089209850063e-16
All-pair actions,8,4,random optimization,random_gaussian,4,1.41421356253312,1,0.0183828080662108,28,4.44089209850063e-16
All-pair actions,8,4,random optimization,random_gaussian,5,1.4142135629055,1,0.0183828080746781,28,2.22044604925031e-16
All-pair actions,8,4,random optimization,random_gaussian,6,1.41421356259881,1,0.0183828080679126,28,4.44089209850063e-16
All-pair actions,8,4,random optimization,random_gaussian,7,1.41421356278719,1,0.0183828080730348,28,2.22044604925031e-16
All-pair actions,8,4,random optimization,random_gaussian,8,1.41421356276641,1,0.0183828080734621,28,4.44089209850063e-16
All-pair actions,8,4,random optimization,random_gaussian,9,1.41421356270033,1,0.0183828080709813,28,4.44089209850063e-16
All-pair actions,8,5,random optimization,random_gaussian,0,1.30601685731801,1,0.0118420498630257,28,3.6380232160127e-11
All-pair actions,8,5,random optimization,random_gaussian,1,1.30635141646272,1,0.011842119198543,28,4.50655068817696e-11
All-pair actions,8,5,random optimization,random_gaussian,2,1.30617687403694,1,0.0118649996972914,28,3.94035915007862e-11
All-pair actions,8,5,random optimization,random_gaussian,3,1.30597484348244,1,0.0118321617293712,28,4.50379733507589e-11
All-pair actions,8,5,random optimization,random_gaussian,4,1.3062204214461,1,0.0118761059798015,28,2.56650256602597e-11
All-pair actions,8,5,random optimization,random_gaussian,5,1.30627250251968,1,0.0118624648701803,28,3.7662539753569e-11
All-pair actions,8,5,random optimization,random_gaussian,6,1.30433316272541,1,0.0117861581190426,28,4.04238864604167e-11
All-pair actions,8,5,random optimization,random_gaussian,7,1.30599188537909,1,0.0118856250699769,28,3.39392958181861e-11
All-pair actions,8,5,random optimization,random_gaussian,8,1.30636633690963,1,0.0118533623753373,28,3.83659770619715e-11
All-pair actions,8,5,random optimization,random_gaussian,9,1.30554188914308,1,0.0118002780045357,28,3.14668291423459e-11
All-pair actions,8,6,random optimization,random_gaussian,0,1.1710653749173,1,0.00378553476143839,28,1.80633286106513e-12
All-pair actions,8,6,random optimization,random_gaussian,1,1.15470053896624,1,0.00353324564744823,28,1.06203934535642e-12
All-pair actions,8,6,random optimization,random_gaussian,2,1.1710653749991,1,0.00378553476362767,28,1.80633286106513e-12
All-pair actions,8,6,random optimization,random_gaussian,3,1.154700538386,1,0.00353324564619902,28,1.06203934535642e-12
All-pair actions,8,6,random optimization,random_gaussian,4,1.1547005385722,1,0.0035332456469113,28,1.06203934535642e-12
All-pair actions,8,6,random optimization,random_gaussian,5,1.1547005390259,1,0.00353324564859451,28,1.06203934535642e-12
All-pair actions,8,6,random optimization,random_gaussian,6,1.15470053868923,1,0.00353324564711388,28,1.06203934535642e-12
All-pair actions,8,6,random optimization,random_gaussian,7,1.15470053864138,1,0.00353324564688703,28,1.06203934535642e-12
All-pair actions,8,6,random optimization,random_gaussian,8,1.17106537457258,1,0.00378553475999868,28,1.80633286106513e-12
All-pair actions,8,6,random optimization,random_gaussian,9,1.15470053858652,1,0.00353324564669896,28,1.06203934535642e-12
All-pair actions,8,7,random optimization,random_gaussian,0,1.00000000069303,1,2.13680562261082e-20,28,2.22044604925031e-16
All-pair actions,8,7,random optimization,random_gaussian,1,1.00000000043218,1,1.48990746604727e-20,28,0
All-pair actions,8,7,random optimization,random_gaussian,2,1.00000000096274,1,5.83963838597827e-20,28,0
All-pair actions,8,7,random optimization,random_gaussian,3,1.00000000072842,1,2.54411925612465e-20,28,0
All-pair actions,8,7,random optimization,random_gaussian,4,1.00000000044185,1,1.19789404162923e-20,28,2.22044604925031e-16
All-pair actions,8,7,random optimization,random_gaussian,5,1.00000000066318,1,3.1143131258753e-20,28,2.22044604925031e-16
All-pair actions,8,7,random optimization,random_gaussian,6,1.00000000053705,1,2.01150622068299e-20,28,2.22044604925031e-16
All-pair actions,8,7,random optimization,random_gaussian,7,1.00000000000124,1,0,28,0
All-pair actions,8,7,random optimization,random_gaussian,8,1.00000000028623,1,5.44513525165619e-21,28,0
All-pair actions,8,7,random optimization,random_gaussian,9,1.00000000031435,1,8.02118333638996e-21,28,2.22044604925031e-16
All-pair actions,8,1,analytic construction,grid,,7,1,1.33384353741541,28,2.79158918203848e-11
All-pair actions,8,2,analytic construction,grid,,2.82842712474619,1,0.164706085988115,28,2.77331491105315e-11
All-pair actions,8,3,analytic construction,grid,,1.73205080756888,1,0.0509100049554039,28,1.88959958791202e-13
All-pair actions,8,4,analytic construction,grid,,1.73205080756888,1,0.0509100049554039,28,1.88959958791202e-13
All-pair actions,8,5,analytic construction,grid,,1.73205080756888,1,0.0509100049554039,28,1.88959958791202e-13
All-pair actions,8,6,analytic construction,grid,,1.73205080756888,1,0.0509100049554039,28,1.88959958791202e-13
All-pair actions,8,7,analytic construction,regular_simplex,,1,1,0,28,0
All-pair actions,8,7,analytic construction,grid,,1.73205080756888,1,0.0509100049554039,28,1.88959958791202e-13
